code,Gold_1500,Silver_1500,Bronze_1500,Total_1500,Gold_100,Silver_100,Bronze_100,Total_100,Gold_200,Silver_200,Bronze_200,Total_200,Gold_400,Silver_400,Bronze_400,Total_400,Gold_800,Silver_800,Bronze_800,Total_800,Gold_full,Silver_full,Bronze_full,Total_full
USA,3,7,4,14,25,21,11,57,23,21,15,59,21,14,15,50,10,5,11,26,82,68,57,207
GBR,5,5,4,14,3,4,3,10,0,4,4,8,3,6,4,13,8,4,1,13,20,24,16,60
KEN,7,3,2,12,0,0,0,0,0,0,0,0,0,0,2,2,7,4,6,17,14,7,10,31
DEU,0,5,5,10,3,4,6,13,3,3,3,9,2,6,4,12,0,0,0,0,8,18,18,44
RUS,4,2,2,8,2,0,1,3,1,1,1,3,2,0,4,6,5,4,2,11,14,7,10,31
NZL,3,3,3,7,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,3,5,3,5,13
ROU,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7
DZA,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,1,7
FRA,0,3,2,5,0,0,0,0,1,0,2,3,3,0,0,3,0,1,1,2,4,4,5,13
FIN,3,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,2,5
ITA,2,0,2,4,1,0,1,2,2,0,1,3,0,0,0,0,0,2,0,2,5,2,4,11
MAR,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,3,7
AUS,2,0,1,3,2,1,5,8,2,3,4,9,2,2,1,5,2,1,0,3,10,7,11,28
ESP,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
GBR,1,1,0,2,3,4,3,10,0,4,4,8,3,6,4,13,8,4,1,13,20,24,16,60
SWE,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,2,2,5
UKR,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ETH,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
NLD,0,0,2,2,1,0,1,2,1,2,1,4,0,0,0,0,1,0,1,2,3,2,5,10
CZE,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
IRL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CAN,0,0,1,1,2,2,5,9,3,1,0,4,0,1,1,2,0,2,2,4,5,6,9,20
PRT,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
NOR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,3
CHN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
HUN,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3
AUT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2
LUX,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EUN,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,3,1,4
BHR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
QAT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
USA,0,0,1,1,25,21,11,57,23,21,15,59,21,14,15,50,10,5,11,26,82,68,57,207
BEL,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3
OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,0,0,0,0,2,0,1,3,1,1,1,3,2,0,4,6,5,4,2,11,14,7,10,31
ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
PSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,0,0,0,0,1,1,2,4,1,1,1,3,1,0,1,2,0,0,1,1,3,2,5,10
PRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2
MMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,0,0,0,0,0,2,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5
NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2
BES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
THA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
